,D.O.A,admissions
549,2018-09-21,33
550,2018-09-22,16
551,2018-09-23,16
552,2018-09-24,16
553,2018-09-25,35
554,2018-09-26,24
555,2018-09-27,22
556,2018-09-28,29
557,2018-09-29,23
558,2018-09-30,17
559,2018-10-01,27
560,2018-10-02,15
561,2018-10-03,12
562,2018-10-04,25
563,2018-10-05,13
564,2018-10-06,9
565,2018-10-07,23
566,2018-10-08,23
567,2018-10-09,26
568,2018-10-10,22
569,2018-10-11,18
570,2018-10-12,31
571,2018-10-13,31
572,2018-10-14,14
573,2018-10-15,35
574,2018-10-16,32
575,2018-10-17,27
576,2018-10-18,24
577,2018-10-19,20
578,2018-10-20,21
579,2018-10-21,20
580,2018-10-22,35
581,2018-10-23,21
582,2018-10-24,22
583,2018-10-25,27
584,2018-10-26,25
585,2018-10-27,20
586,2018-10-28,19
587,2018-10-29,34
588,2018-10-30,24
589,2018-10-31,22
590,2018-11-01,17
591,2018-11-02,26
592,2018-11-03,10
593,2018-11-04,28
594,2018-11-05,13
595,2018-11-06,26
596,2018-11-07,13
597,2018-11-08,20
598,2018-11-09,28
599,2018-11-10,28
600,2018-11-11,17
601,2018-11-12,29
602,2018-11-13,33
603,2018-11-14,14
604,2018-11-15,19
605,2018-11-16,24
606,2018-11-17,10
607,2018-11-18,16
608,2018-11-19,27
609,2018-11-20,36
610,2018-11-21,31
611,2018-11-22,25
612,2018-11-23,11
613,2018-11-24,25
614,2018-11-25,29
615,2018-11-26,36
616,2018-11-27,21
617,2018-11-28,33
618,2018-11-29,35
619,2018-11-30,29
620,2018-12-01,38
621,2018-12-02,21
622,2018-12-03,14
623,2018-12-04,22
624,2018-12-05,20
625,2018-12-06,21
626,2018-12-07,15
627,2018-12-08,21
628,2018-12-09,19
629,2018-12-10,21
630,2018-12-11,30
631,2018-12-12,23
632,2018-12-13,19
633,2018-12-14,22
634,2018-12-15,30
635,2018-12-16,18
636,2018-12-17,33
637,2018-12-18,25
638,2018-12-19,28
639,2018-12-20,33
640,2018-12-21,21
641,2018-12-22,16
642,2018-12-23,16
643,2018-12-24,23
644,2018-12-25,27
645,2018-12-26,25
646,2018-12-27,19
647,2018-12-28,24
648,2018-12-29,27
649,2018-12-30,19
650,2018-12-31,29
651,2019-01-01,23
652,2019-01-02,22
653,2019-01-03,25
654,2019-01-04,3
655,2019-01-05,4
656,2019-01-06,4
657,2019-01-08,5
658,2019-01-09,4
659,2019-01-10,2
660,2019-01-11,1
661,2019-01-12,1
662,2019-01-13,18
663,2019-01-14,32
664,2019-01-15,34
665,2019-01-16,28
666,2019-01-17,28
667,2019-01-18,31
668,2019-01-19,28
669,2019-01-20,15
670,2019-01-21,23
671,2019-01-22,20
672,2019-01-23,33
673,2019-01-24,30
674,2019-01-25,44
675,2019-01-26,28
676,2019-01-27,22
677,2019-01-28,34
678,2019-01-29,36
679,2019-01-30,30
680,2019-01-31,40
681,2019-02-01,33
682,2019-02-02,26
683,2019-02-03,29
684,2019-02-04,2
685,2019-02-05,2
686,2019-02-06,1
687,2019-02-07,3
688,2019-02-08,2
689,2019-02-09,3
690,2019-02-10,4
691,2019-02-11,1
692,2019-02-12,1
693,2019-02-13,33
694,2019-02-14,35
695,2019-02-15,29
696,2019-02-16,22
697,2019-02-17,21
698,2019-02-18,31
699,2019-02-19,27
700,2019-02-20,30
701,2019-02-21,40
702,2019-02-22,38
703,2019-02-23,20
704,2019-02-24,23
705,2019-02-25,34
706,2019-02-26,26
707,2019-02-27,26
708,2019-02-28,29
709,2019-03-01,34
710,2019-03-02,10
711,2019-03-03,22
712,2019-03-04,3
713,2019-03-05,3
714,2019-03-06,2
715,2019-03-07,2
716,2019-03-09,1
717,2019-03-11,1
718,2019-03-12,1
719,2019-03-13,20
720,2019-03-14,20
721,2019-03-15,26
722,2019-03-16,21
723,2019-03-17,26
724,2019-03-18,32
725,2019-03-19,38
726,2019-03-20,17
727,2019-03-21,25
728,2019-03-22,24
729,2019-03-23,23
730,2019-03-24,20
731,2019-03-25,28
732,2019-03-26,19
733,2019-03-27,23
734,2019-03-28,41
735,2019-03-29,27
736,2019-03-30,13
737,2019-03-31,6
738,2019-04-01,25
739,2019-04-02,43
740,2019-04-03,26
741,2019-05-01,28
742,2019-05-02,37
743,2019-05-03,30
744,2019-06-01,21
745,2019-06-02,31
746,2019-06-03,20
747,2019-07-01,27
748,2019-07-02,27
749,2019-07-03,25
750,2019-08-01,30
751,2019-08-02,24
752,2019-08-03,18
753,2019-09-01,24
754,2019-09-02,18
755,2019-09-03,16
756,2019-10-01,25
757,2019-10-02,10
758,2019-10-03,17
759,2019-11-01,14
760,2019-11-02,32
761,2019-11-03,25
762,2019-12-01,6
763,2019-12-02,19
764,2019-12-03,32
